
year,mm-dd,location,parameter,unit,datatype,value
2015,5-27,LWG,outflow,kcfs,Outflow,64.433
2015,5-28,LWG,outflow,kcfs,Outflow,67.167
2015,5-29,LWG,outflow,kcfs,Outflow,63.704
2015,5-30,LWG,outflow,kcfs,Outflow,60.392
2015,5-31,LWG,outflow,kcfs,Outflow,60.813
2015,6-1,LWG,outflow,kcfs,Outflow,63.083
2015,6-2,LWG,outflow,kcfs,Outflow,63.454
2015,6-3,LWG,outflow,kcfs,Outflow,65.554
2015,6-4,LWG,outflow,kcfs,Outflow,66.088
2015,6-5,LWG,outflow,kcfs,Outflow,56.167
2015,6-6,LWG,outflow,kcfs,Outflow,50.963
2015,6-7,LWG,outflow,kcfs,Outflow,51.879
2015,6-8,LWG,outflow,kcfs,Outflow,53.321
2015,6-9,LWG,outflow,kcfs,Outflow,54.479
2015,6-10,LWG,outflow,kcfs,Outflow,49.033
2015,6-11,LWG,outflow,kcfs,Outflow,46.733
2015,6-12,LWG,outflow,kcfs,Outflow,44.592
2015,6-13,LWG,outflow,kcfs,Outflow,43.588
2015,6-14,LWG,outflow,kcfs,Outflow,38.354
2015,6-15,LWG,outflow,kcfs,Outflow,34.471
2015,6-16,LWG,outflow,kcfs,Outflow,35.504
2015,6-17,LWG,outflow,kcfs,Outflow,33.300
2015,6-18,LWG,outflow,kcfs,Outflow,34.367
2015,6-19,LWG,outflow,kcfs,Outflow,33.100
2015,6-20,LWG,outflow,kcfs,Outflow,33.179
2015,6-21,LWG,outflow,kcfs,Outflow,30.975
2015,6-22,LWG,outflow,kcfs,Outflow,30.813
2015,6-23,LWG,outflow,kcfs,Outflow,30.083
2015,6-24,LWG,outflow,kcfs,Outflow,31.933
2015,6-25,LWG,outflow,kcfs,Outflow,31.246
2015,6-26,LWG,outflow,kcfs,Outflow,30.913
2015,6-27,LWG,outflow,kcfs,Outflow,32.817
2015,6-28,LWG,outflow,kcfs,Outflow,36.421
2015,6-29,LWG,outflow,kcfs,Outflow,34.383
2015,6-30,LWG,outflow,kcfs,Outflow,30.829
2015,7-1,LWG,outflow,kcfs,Outflow,30.883
2015,7-2,LWG,outflow,kcfs,Outflow,28.783
2015,7-3,LWG,outflow,kcfs,Outflow,24.513
2015,7-4,LWG,outflow,kcfs,Outflow,22.929
2015,7-5,LWG,outflow,kcfs,Outflow,22.938
2015,7-6,LWG,outflow,kcfs,Outflow,24.629
2015,7-7,LWG,outflow,kcfs,Outflow,24.929
2015,7-8,LWG,outflow,kcfs,Outflow,27.479
2015,7-9,LWG,outflow,kcfs,Outflow,27.971
2015,7-10,LWG,outflow,kcfs,Outflow,31.838
2015,7-11,LWG,outflow,kcfs,Outflow,30.596
2015,7-12,LWG,outflow,kcfs,Outflow,29.967
2015,7-13,LWG,outflow,kcfs,Outflow,33.488
2015,7-14,LWG,outflow,kcfs,Outflow,26.975
2015,7-15,LWG,outflow,kcfs,Outflow,25.592
2015,7-16,LWG,outflow,kcfs,Outflow,26.558
2015,7-17,LWG,outflow,kcfs,Outflow,30.196
2015,7-18,LWG,outflow,kcfs,Outflow,30.967
2015,7-19,LWG,outflow,kcfs,Outflow,31.125
2015,7-20,LWG,outflow,kcfs,Outflow,29.313
2015,7-21,LWG,outflow,kcfs,Outflow,29.838
2015,7-22,LWG,outflow,kcfs,Outflow,32.013
2015,7-23,LWG,outflow,kcfs,Outflow,31.521
2015,7-24,LWG,outflow,kcfs,Outflow,30.529
2015,7-25,LWG,outflow,kcfs,Outflow,27.467
2015,7-26,LWG,outflow,kcfs,Outflow,25.567
2015,7-27,LWG,outflow,kcfs,Outflow,28.829
2015,7-28,LWG,outflow,kcfs,Outflow,27.429
2015,7-29,LWG,outflow,kcfs,Outflow,29.971
2015,7-30,LWG,outflow,kcfs,Outflow,28.246
2015,7-31,LWG,outflow,kcfs,Outflow,31.013
2015,8-1,LWG,outflow,kcfs,Outflow,31.479
2015,8-2,LWG,outflow,kcfs,Outflow,31.750
2015,8-3,LWG,outflow,kcfs,Outflow,31.088
